question,q_len_chars,q_len_words,q_wh_type
"In British Bingo, which number ball has the nickname ‘Dancing Queen’?",69,11,which
"To within a year either way, when did the R101 crash in France, with the loss of 48 lives?",90,19,when
What is the total if you add the regnal numbers of our last three kings?,72,15,what
"How old was Nelson Mandela, when he passed away on the 5th?",59,12,age
In what year did King Edward VIII’s abdication crisis occur?,60,10,year
"WWII, in which year did the Battle of Kursk occur ?",51,11,which
Gorbachev became Soviet Premier in which year ?,47,8,which
"WWII, in which year did the Battle of Stalingrad take place ?",61,12,which
In maths the hexadecimal numeral system has a base of which number?,67,12,which
In which year in the 50s was the first televised Queen’s speech?,64,12,which
"What is next in this series of Fibonacci numbers – 3, 7, 10, 17, 27, 44, 71 ……?",79,18,what
When women were first given the vote in 1918 how old did they have to be to receive it?,87,19,age
In which novel has Britain been re-named Airstrip One?,54,9,which
How old was River Phoenix when he died?,39,8,age
Darts. What is the lowest score not possible to score with one dart?,68,13,what
"On Nov. 7th 2013, what landmark did A.P. McCoy reach, in terms of number of winners?",84,16,what
"In WW II, in what year did these battles take place: Luzon, Halbe, Trieste and Okinawa?",87,16,year
Which year was renowned as ‘The Year of Revolutions’?,53,9,which
‘We shall abolish the orgasm. Our neurologist are at work upon it now’ – which book?,84,16,which
To which year in the 90s did the Queen refer as her annus horribilis?,69,14,which
What was the age that no-one wanted to reach in Logan’s Run?,60,12,what
The ‘two-minute hate’ is featured in which novel of the twentieth century?,74,12,which
Which number do bingo callers link with “The Brighton Line”?,60,10,which
Bingo slang ‘dancing queen’ represents which number?,52,7,which
Bingo slang ‘droopy drawers’ represents which number?,53,7,which
A popular cookery program of the 1990's took its name from the bingo call for which number?,91,17,which
American films use which fictional area code in telephone numbers?,66,10,area
Garfield Sobers first captained the West Indies against England in which year?,78,12,which
"James Bond, 007, had four colleagues: 006, 008, 009 and which other?",68,12,which
In which year did Apollo 8 become the first manned mission to orbit the moon?,77,15,which
The fall of the Berlin Wall began on November 9th in what year?,63,13,year
"In what year did the Suez Crisis, also known as the Tripartite Aggression, take place?",86,15,year
"To within two years either way, when did Rupert Bear first appear in the Daily Express?",87,16,when
If travelling at 30m.p.h. in a car what is the overall stopping distance in feet?,81,15,what
What used to clean a big big carpet for less than half a crown?,63,14,what
In which year was Hong Kong handed back to the Chinese government?,66,12,which
"The Bible, Which psalm begins “The Lord is my shepherd …”?",58,11,which
In which year was the Maastricht treaty signed? (It came into force a year later.),82,15,which
"To within one year either way, when was the last judicial hanging in Great Britain?",83,15,when
In which year did the USSR bring the dogs Belka and Strelka home safe from space?,81,16,which
Which number in Pennsylvania Avenue is The White House?,55,9,which
"In which year was the TUC formed at a meeting in Manchester? Was it 1868, 1889 or 1901?",87,18,which
"In the poetic form, the sonnet, how many lines are there?",57,11,quantity
"Measurement - conversion from imperial to metric - How many metres are equivalent to one furlong, to the nearest unit? (will accept + or - 1)",141,26,quantity
Measurement - conversion from imperial to metric - How many kilograms to the nearest unit are equivalent to 1 hundredweight? (will accept + or - 1),147,26,quantity
In which year did the novelists George Bernard Shaw and George Orwell die? (Will accept plus or minus one year),111,20,which
In which year did the novelists Mark Twain and Leo Tolstoy die? (will accept plus or minus one year),100,19,which
What is the two digit country calling code for England from abroad?,67,12,what
"It is the Queen's Diamond Jubilee this year, having acceded to the throne on Feb 6th 1952. In which year will she become the longest reigning monarch, breaking the record set by Queen Victoria in 1901?",201,36,which
In which year was the battle of the Alamo?,42,9,which
In which year did Bjorn Borg become Men's Singles champion at Wimbledon for the first time?,91,16,which
In which year did Steve Davis win his first World Professional Snooker championship title?,90,14,which
How many carats are there in pure gold?,39,8,quantity
In which year did Shakespeare die?,34,6,which
"Name the year - The Manchester Metrolink officially opens, Windsor Castle is badly damaged by fire, Gary Lineker is voted Football Writers Player of the Year and 'Stay' by Shakespeare's Sister reaches number one in the British pop charts.",238,39,other
"Which year of the 20th century saw the deaths of Matt Busby, John Curry, Fanny Craddock and Richard Nixon?",106,19,which
"Which year of the 20th century saw the deaths of Linda McCartney, Frank Sinatra, Catherine Cookson and Justin Fashanu?",118,19,which
How many years of marriage are celebrated by a 'Lace' annivesary?,65,11,age
Numbers - how many lines are in a sonnet ?,42,10,quantity
In what year was the first Eurovision Song Contest held ?,57,11,year
In what year was the first BBC Sports Personality if theYear held ?,67,13,year
"How old is former Mid-Ulster MP Bernadette Devlin today ? Is she 60, 62 or 66 ?",79,17,age
How many times per second does mains electricity change from positive to negative ?,83,14,quantity
In pre decimal coinage how many farthings were in a Half Crown?,63,12,quantity
Reggae superstar Bob Marley died in which year?,47,8,which
"Because of an uprising that began in France and quickly spread to Italy, the Austrian Empire and Germany, which year of the 19'th century became known as the ' Year of Revolutions ' ?",183,34,which
In which year did the Peterloo Massacre take place ?,52,10,which
What is the sum of the interior angles of a pentagon ?,54,12,what
Name the Year: The musical My Fair Lady has its first performance on Broadway ; Elvis Presley has his first U.K. hit.,117,22,other
Which year saw the birth of the sextuplets 'The Waltons'?,57,10,which
Which year saw the SAS storm the Iranian Embassy in London ?,60,12,which
"Name the year - flash floods badly damage the Cornish village of Boscastle, a 'Fathers for Justice' campaigne, dressed as Batman, breaches security at Buckingham Palace and footballer Emlyn Hughes and DJ John Peel sadly die.",224,36,other
"Name the year - Prince Edward leaves the Marines just three months after joining, the book Spycatcher is released, race riots break out in the Chapeltown area of Leeds and the Pet Shop Boys reach number 1 in the UK charts with the record 'It's a Sin' ?",252,48,area
"Name the year - Anna Ford becomes the first female news reader on ITV, the charity Motability is founded, Bulgarian dissident Geogi Markov is killed with a poison tipped umbrella and Althea and Donna reach number 1 in the UK charts with 'Uptown Ranking' ?",255,45,other
The 'Thought Police' feature in whic famous novel of 1949?,58,10,other
Which year of the 20th century saw the British General Strike?,62,11,which
Which year of the 20th century saw the famous St Valentne's Day Massacre?,73,13,which
In which year were One Pound coins introduced?,46,8,which
In which year did the Bank of England 10 shilling note cease to be legal tender?,80,16,which
"In Troy weight , how many grains are there in a pennyweight ?",61,13,quantity
How many gills are there in half a gallon?,42,9,quantity
In which year did Argentina's Maradona score his infamous 'hand of God' goal?,77,13,which
In which year did Napoelon's troops capture Moscow ?,52,9,which
In which year did rank outsider Foinavon unexpectedly win the Grand National?,77,12,which
